Sample_Name,Site_ID,Collection_Date,D_2H,D_2H_StDev,D_18O,D_18O_StDev
1443,DC-C1E-1443,3/1/2023,-120.991733,3.41E-01,-16.332582,1.40E-01
1446,DC-LR-1446,3/1/2023,-119.671787,1.84E+00,-15.806706,2.83E-01
1449,DC-MR-1449,3/1/2023,-120.239786,2.04E+00,-16.050775,3.47E-01
1455,DC-LG-1455,3/16/2023,-121.900073,2.38E+00,-16.507839,4.85E-01
1460,DC-C2E-1460,3/16/2023,-121.39067,1.61E+00,-16.138056,3.91E-01
1463,DC-C2M-1463,3/16/2023,-121.921568,1.81E+00,-16.17974,2.99E-01
1466,DC-C1WSP-1466,3/16/2023,-120.59113,1.29E+00,-15.786952,2.81E-01
1469,DC-C1W-1469,3/16/2023,-121.669026,1.74E+00,-16.243799,1.53E-01
1472,DC-C1E-1472,3/16/2023,-122.774607,3.08E+00,-16.353504,5.55E-01
1475,DC-LR-1475,3/16/2023,-122.551907,1.09E+00,-16.197991,1.52E-01
1478,DC-MR-1478,3/16/2023,-122.237137,4.09E-01,-16.103817,2.43E-01
1481,DC-UR-1481,3/16/2023,-122.130164,1.01E-01,-16.208769,1.22E-01
1484,DC-LG-1484,3/29/2023,-120.776806,1.40E+00,-16.018872,1.55E-01
1489,DC-C2E-1489,3/29/2023,-122.706453,2.44E+00,-16.286057,1.68E-01
1492,DC-C2M-1492,3/29/2023,-122.405693,6.73E-01,-16.281101,2.56E-01
1495,DC-C1WSP-1495,3/29/2023,-122.096297,1.17E+00,-16.467096,2.29E-01
1498,DC-C1W-1498,3/29/2023,-122.071812,8.74E-01,-16.220189,2.46E-01
1501,DC-C1E-1501,3/29/2023,-122.908208,5.10E-01,-16.555849,2.06E-01
1504,DC-LR-1504,3/29/2023,-123.481088,8.23E-01,-16.141405,3.46E-01
1507,DC-MR-1507,3/29/2023,-121.135504,1.19E+00,-15.884844,1.92E-01
1510,DC-UR-1510,3/29/2023,-122.076403,1.33E+00,-16.091826,2.39E-01
1513,DC-LG-1513,4/10/2023,-126.323572,1.44E+00,-16.691271,3.29E-01
1518,DC-C2E-1518,4/10/2023,-125.267088,9.90E-01,-16.330692,1.16E-01
1521,DC-C2M-1521,4/10/2023,-128.144634,2.46E+00,-16.814359,5.04E-01
1524,DC-C1WSP-1524,4/10/2023,-124.752204,1.36E+00,-16.281903,1.46E-01
1527,DC-C1W-1527,4/10/2023,-129.956121,1.21E+00,-17.007668,8.50E-02
1530,DC-C1E-1530,4/10/2023,-128.899395,7.93E-01,-17.045058,2.26E-01
1533,DC-LR-1533,4/10/2023,-126.788184,9.15E-01,-16.819468,2.90E-01
1536,DC-MR-1536,4/10/2023,-127.058814,1.45E+00,-16.673445,7.84E-02
1539,DC-UR-1539,4/10/2023,-125.805741,8.67E-01,-16.626439,1.57E-01
